category,item_name,no_of_orders
American,Hamburger,622
Asian,Edamame,620
Asian,"Korean Beef Bowl",588
American,Cheeseburger,583
American,"French Fries",571
Asian,"Tofu Pad Thai",562
Mexican,"Steak Torta",489
Italian,"Spaghetti & Meatballs",470
American,"Mac & Cheese",463
Mexican,"Chips & Salsa",461
Asian,"Orange Chicken",456
Mexican,"Chicken Burrito",455
Italian,"Eggplant Parmesan",420
Mexican,"Chicken Torta",379
Italian,Spaghetti,367
Italian,"Chicken Parmesan",364
Asian,"Pork Ramen",360
Italian,"Mushroom Ravioli",359
Asian,"California Roll",355
Mexican,"Steak Burrito",354
Asian,"Salmon Roll",324
Italian,"Meat Lasagna",273
American,"Hot Dog",257
Italian,"Fettuccine Alfredo",249
Italian,"Shrimp Scampi",239
American,"Veggie Burger",238
Mexican,"Chips & Guacamole",237
Mexican,"Cheese Quesadillas",233
Mexican,"Steak Tacos",214
Italian,"Cheese Lasagna",207
Asian,Potstickers,205
NULL,NULL,137
Mexican,"Chicken Tacos",123
