category,item_name,num_items_per_category,total_spent_per_category
Italian,Spaghetti,8,132.25
Italian,"Spaghetti & Meatballs",8,132.25
Italian,"Spaghetti & Meatballs",8,132.25
Italian,"Fettuccine Alfredo",8,132.25
Italian,"Fettuccine Alfredo",8,132.25
Italian,"Meat Lasagna",8,132.25
Italian,"Chicken Parmesan",8,132.25
Italian,"Eggplant Parmesan",8,132.25
Asian,"Korean Beef Bowl",2,22.95
Asian,Edamame,2,22.95
Mexican,"Steak Tacos",2,20.95
Mexican,"Chips & Salsa",2,20.95
American,"Hot Dog",2,16.00
American,"French Fries",2,16.00
